LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y,
LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,N,
LP002357,Female,No,0,Not Graduate,No,2720,0,80,,0,Urban,N,
LP002361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y,
LP002362,Male,Yes,1,Graduate,No,7250,1667,110,,0,Urban,N,
LP002366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y,
LP002367,Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N,
LP002368,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Y,
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y,
LP002370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y,
LP002377,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y,
LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N,
LP002387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y,
LP002390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y,
LP002398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y,
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y,
LP002418,Male,No,3+,Not Graduate,No,4707,1993,148,360,1,Semiurban,Y,
LP002429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y,
LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y,
LP002435,Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,N,
LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N,
LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,N,
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,60,300,,Urban,Y,
LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,N,
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y,
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y,
LP002455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y,
LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y,
LP002472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y,
LP002484,Male,Yes,3+,Graduate,No,7740,0,128,180,1,Urban,Y,
LP002489,Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,Y,
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N,
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y,
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,Urban,N,
LP002502,Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,Y,
LP002505,Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,Y,
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,N,
LP002519,Male,Yes,3+,Graduate,No,4691,0,100,360,1,Semiurban,Y,
LP002522,Female,No,0,Graduate,Yes,2500,0,93,360,,Urban,Y,
LP002530,,Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,N,
LP002536,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,Rural,Y,
LP002537,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,Y,
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Y,
LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N,
LP002556,Male,No,0,Graduate,No,2435,0,75,360,1,Urban,N,
LP002560,Male,No,0,Not Graduate,No,2699,2785,96,360,,Semiurban,Y,
LP002571,Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,Y,
LP002585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,N,
LP002586,Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,Y,
LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,Y,
LP002588,Male,Yes,0,Graduate,No,4625,2857,111,12,,Urban,Y,
LP002600,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,Y,
LP002603,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Y,
LP002606,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y,
LP002618,Male,Yes,1,Not Graduate,No,4050,5302,138,360,,Rural,N,
LP002619,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Y,
LP002625,,No,0,Graduate,No,3583,0,96,360,1,Urban,N,
LP002637,Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N,
LP002643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y,
LP002648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N,
LP002659,Male,Yes,3+,Graduate,No,3466,3428,150,360,1,Rural,Y,
LP002670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y,
LP002682,Male,Yes,,Not Graduate,No,3074,1800,123,360,0,Semiurban,N,
LP002684,Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,N,
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y,
LP002690,Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Y,
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424,100,360,1,Rural,Y,
LP002705,Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Y,
LP002714,Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,Y,
LP002716,Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Y,
LP002720,Male,Yes,3+,Graduate,No,4281,0,100,360,1,Urban,Y,
LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,N,
LP002732,Male,No,0,Not Graduate,,2550,2042,126,360,1,Rural,Y,
LP002738,Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,Y,
LP002739,Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,N,
LP002741,Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Y,
LP002743,Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,N,
LP002753,Female,No,1,Graduate,,3652,0,95,360,1,Semiurban,Y,
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Y,
LP002757,Female,Yes,0,Not Graduate,No,3017,663,102,360,,Semiurban,Y,
LP002768,Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N,
LP002772,Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Y,
LP002776,Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,N,
LP002777,Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,Y,
LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N,
LP002792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Y,
LP002794,Female,No,0,Graduate,No,2667,1625,84,360,,Urban,Y,
LP002807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Y,
LP002821,Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,Y,
LP002833,Male,Yes,0,Not Graduate,No,4467,0,120,360,,Rural,Y,
LP002836,Male,No,0,Graduate,No,3333,0,70,360,1,Urban,Y,
LP002837,Male,Yes,3+,Graduate,No,3400,2500,123,360,0,Rural,N,
LP002840,Female,No,0,Graduate,No,2378,0,9,360,1,Urban,Y,
LP002841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,N,
LP002863,Male,Yes,3+,Graduate,No,6406,0,150,360,1,Semiurban,N,
LP002868,Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Y,
LP002872,,Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,N,
LP002874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y,
LP002877,Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y,
LP002893,Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,N,
LP002894,Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,Y,
LP002898,Male,Yes,1,Graduate,No,1880,0,61,360,,Rural,N,
LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N,
LP002916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y,
LP002917,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Y,
LP002925,,No,0,Graduate,No,4750,0,94,360,1,Semiurban,Y,
LP002926,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,N,
LP002928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,Y,
LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,Y,
LP002940,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,Y,
LP002943,Male,No,,Graduate,No,2987,0,88,360,0,Semiurban,N,
LP002953,Male,Yes,3+,Graduate,No,5703,0,128,360,1,Urban,Y,
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y,
LP002978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,Y,
LP002979,Male,Yes,3+,Graduate,No,4106,0,40,180,1,Rural,Y,
LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,N,
LP002991,Male,Yes,3+,Graduate,No,3366,2200,135,360,1,Rural,N,AA
LP002995,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y,
LP002999,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y,
LP003004,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y,
LP003005,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y,
LP003006,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N,
LP003011,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N,
LP003014,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N,
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y,
